,Entity,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),Mismanaged plastic waste per capita (kg per year)
92,Mauritius,MUS,2019,0.0,0.235433071
93,Mexico,MEX,2019,0.027528689,3.375352731
94,Monaco,MCO,2019,0.0,0.128205128
95,Montenegro,MNE,2019,0.0,0.025477707
96,Morocco,MAR,2019,0.049352928,8.101776705
97,Mozambique,MOZ,2019,0.08377791,14.30652704
98,Myanmar,MMR,2019,0.047071885,8.038338422
99,Namibia,NAM,2019,0.000801603,8.373547094
100,Netherlands,NLD,2019,0.015850734,0.890975025
101,New Zealand,NZL,2019,0.014217019,0.358352498
102,Nicaragua,NIC,2019,0.223800794,16.93583868
103,Nigeria,NGA,2019,0.092752931,9.698005613
104,North America,,2019,0.120204257,5.257716269
105,North Korea,PRK,2019,0.001948103,0.01254578
106,Norway,NOR,2019,0.0,0.277746793
107,Oceania,,2019,0.086189708,3.240267755
108,Oman,OMN,2019,0.000201005,0.251457286
109,Pakistan,PAK,2019,0.004031122,6.21734837
110,Palau,PLW,2019,0.388888889,6.444444444
111,Palestine,PSE,2019,0.023690022,0.427424212
112,Panama,PAN,2019,1.233396138,8.558407913
113,Papua New Guinea,PNG,2019,0.348564266,13.62101185
114,Peru,PER,2019,0.007966779,4.315995078
115,Philippines,PHL,2019,3.296160641,37.23096275
116,Poland,POL,2019,0.000765414,0.372782939
117,Portugal,PRT,2019,0.007432036,0.373362018
118,Puerto Rico,PRI,2019,0.024207296,0.440845551
119,Qatar,QAT,2019,0.0,0.540960452
120,Reunion,REU,2019,0.0,0.262092238
121,Romania,ROU,2019,0.004131164,2.693570875
122,Russia,RUS,2019,0.003715586,2.491149775
123,Saint Kitts and Nevis,KNA,2019,0.018867925,1.830188679
124,Saint Lucia,LCA,2019,2.453551913,23.36612022
125,Saint Vincent and the Grenadines,VCT,2019,0.72972973,11.12612613
126,Samoa,WSM,2019,0.0,8.822335025
127,Sao Tome and Principe,STP,2019,0.358139535,9.623255814
128,Saudi Arabia,SAU,2019,8.75e-05,0.209402084
129,Senegal,SEN,2019,0.010370643,4.029209622
130,Seychelles,SYC,2019,0.0,0.336734694
131,Sierra Leone,SLE,2019,0.463842314,11.67784462
132,Singapore,SGP,2019,0.028256375,0.425223983
133,Slovakia,SVK,2019,0.0,0.315008246
134,Slovenia,SVN,2019,0.005291005,0.405964406
135,Solomon Islands,SLB,2019,0.149253731,5.253731343
136,Somalia,SOM,2019,0.000129509,0.002719679
137,South Africa,ZAF,2019,0.072850849,12.09855186
138,South Korea,KOR,2019,0.007554905,0.237306003
139,Spain,ESP,2019,0.005028136,0.435415196
140,Sri Lanka,LKA,2019,0.452729319,7.290658413
141,Sudan,SDN,2019,0.002475883,18.25672109
142,Suriname,SUR,2019,2.886402754,39.47160069
143,Sweden,SWE,2019,0.003587086,0.423973695
144,Syria,SYR,2019,0.002577622,0.029408319
145,Taiwan,TWN,2019,0.022335324,0.315554808
146,Tanzania,TZA,2019,0.099732782,29.59055254
147,Thailand,THA,2019,0.327550053,19.55720564
148,Timor,TLS,2019,0.552977572,13.33642691
149,Togo,TGO,2019,0.053947043,15.06842366
150,Tonga,TON,2019,0.0,6.403846154
151,Trinidad and Tobago,TTO,2019,2.549820789,52.42939068
152,Tunisia,TUN,2019,0.058828559,24.7574177
153,Turkey,TUR,2019,0.171748771,19.85029366
154,Ukraine,UKR,2019,0.01952539,8.950697822
155,United Arab Emirates,ARE,2019,0.001432811,0.525534746
156,United Kingdom,GBR,2019,0.010410188,0.442973493
157,United States,USA,2019,0.007387598,0.812815117
158,Uruguay,URY,2019,0.288272675,26.75332178
159,Venezuela,VEN,2019,0.209987376,23.54576378
160,Vietnam,VNM,2019,0.292560801,11.53604528
161,Western Sahara,ESH,2019,0.065292096,7.068728522
162,World,OWID_WRL,2019,0.126980239,8.008550858
163,Yemen,YEM,2019,0.008641383,10.00401207
164,Zimbabwe,ZWE,2019,0.0,35.83919426
